occurrenceID,institutionCode,catalogNumber,scientificName,order,family,genus,specificEpithet,day,month,year,countryCode,stateProvince,decimalLatitude,decimalLongitude,dynamicProperties,occurrenceRemarks,fieldNotes,body mass,body mass ambiguous,body mass units inferred,ear from notch,ear length,ear length units inferred,embryo count,embryo length,embryo size units inferred,forearm length,hind foot length,hind foot length units inferred,hind foot with claw,lactation,life stage,nipple,nipple count,pregnancy,sex,tail length,tail length estimated,tail length units inferred,testicle description,testicle length,testicle size units inferred,testicle width,total length,total length ambiguous,total length estimated,total length units inferred,tragus length,vagina
1f9a1e2b-b056-4f91-8dea-5beb7830ede9,ASU,ASUMAC003401,"Peromyscus boylii (Baird, 1855)",Rodentia,Cricetidae,Peromyscus,boylii,9,7,1967,US,Arizona,32.70001,-109.78713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57e99558-9bb9-4b03-a74a-98b249593ad1,ASU,ASUMAC003400,"Peromyscus boylii (Baird, 1855)",Rodentia,Cricetidae,Peromyscus,boylii,9,7,1967,US,Arizona,32.7003,-109.78713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141b8564-8182-49ef-b01b-bb7dee207afc,ASU,ASUMAC002021,"Sylvilagus audubonii (Baird, 1858)",Lagomorpha,Leporidae,Sylvilagus,audubonii,10,4,1966,US,Arizona,34.0411,-112.61415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36fd690e-7a4e-4ca8-9042-752d85cb13a1,ASU,ASUMAC002028,"Dipodomys merriami Mearns, 1890",Rodentia,Heteromyidae,Dipodomys,merriami,14,2,1966,US,Arizona,33.33067,-111.98085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8fed033c-4a9e-489c-a4da-409bcd749ed2,ASU,ASUMAC002025,"Dipodomys merriami Mearns, 1890",Rodentia,Heteromyidae,Dipodomys,merriami,19,2,1966,US,Arizona,33.66742,-111.91609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7816b01-f830-4838-ba5a-95551f815958,ASU,ASUMAC002027,"Ammospermophilus harrisii (Audubon & Bachman, 1854)",Rodentia,Sciuridae,Ammospermophilus,harrisii,8,4,1966,US,Arizona,34.03363,-112.6272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a376aec1-5eac-4a6c-8e1f-7ffd312a7da2,ASU,ASUMAC003404,"Reithrodontomys megalotis (Baird, 1857)",Rodentia,Cricetidae,Reithrodontomys,megalotis,24,6,1967,US,Arizona,34.16093,-110.50504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fd076c2d-5d00-43c9-a9b0-124138ad8322,ASU,ASUMAC003405,"Reithrodontomys megalotis (Baird, 1857)",Rodentia,Cricetidae,Reithrodontomys,megalotis,24,6,1967,US,Arizona,34.16061,-110.50512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743da1f0-6a16-4b2e-8ef9-62f01095d927,ASU,ASUMAC004745,"Perognathus amplus Osgood, 1900",Rodentia,Heteromyidae,Perognathus,amplus,6,3,1969,US,Arizona,33.58246,-111.83048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7655b2e-bb73-48bf-ae0b-5895932e7497,ASU,ASUMAC004751,"Chaetodipus baileyi (Merriam, 1894)",Rodentia,Heteromyidae,Chaetodipus,baileyi,1,3,1969,US,Arizona,33.72541,-112.04673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
